2023-12-19 11:12:729 INFO  HomePage :30 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (eede5ff968d76eac9c568872092527e5)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:802 INFO  HomePage :26 - selectMenu: [[ChromeDriver: chrome on windows (eede5ff968d76eac9c568872092527e5)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:844 INFO  DesktopsPage :18 - getTextFromElement : Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:606 INFO  HomePage :33 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (ecbeecf44db702d1f44e1f80964ca690)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:851 INFO  HomePage :26 - selectMenu: [[ChromeDriver: chrome on windows (ecbeecf44db702d1f44e1f80964ca690)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:863 INFO  DesktopsPage :19 - getTextNotebooksAndLaptops: Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:272 INFO  HomePage :37 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (e5db75f99b4b23b77b1d34b3e5c12ed4)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:623 INFO  HomePage :26 - selectMenu: [[ChromeDriver: chrome on windows (e5db75f99b4b23b77b1d34b3e5c12ed4)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:663 INFO  ComponentsPage :18 - getTextComponents: Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:224 INFO  HomePage :30 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (0f4d1ae2d00220c44dd54dba3a4be53c)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:336 INFO  HomePage :26 - selectMenu: [[ChromeDriver: chrome on windows (0f4d1ae2d00220c44dd54dba3a4be53c)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:412 INFO  DesktopsPage :18 - getTextFromElement : Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:905 INFO  HomePage :33 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (c446be759e10782dac9dbb8626de0fcf)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:157 INFO  HomePage :26 - selectMenu: [[ChromeDriver: chrome on windows (c446be759e10782dac9dbb8626de0fcf)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:196 INFO  DesktopsPage :19 - getTextNotebooksAndLaptops: Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:11 INFO  HomePage :37 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (86366b41628403bb850c63f1bcda917c)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:482 INFO  HomePage :26 - selectMenu: [[ChromeDriver: chrome on windows (86366b41628403bb850c63f1bcda917c)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:509 INFO  ComponentsPage :18 - getTextComponents: Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:466 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b0c297aab625d1574a240284f2ff8dc2)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:673 INFO  DesktopsPage :18 - getTextFromElement : Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:76 INFO  HomePage :46 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b5fbcb3e2d1ddd2e6938142c425d89da)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:552 INFO  DesktopsPage :19 - getTextNotebooksAndLaptops: Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:419 INFO  HomePage :50 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (dba4ea6568008e522dc3ca18f0489b5d)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:900 INFO  ComponentsPage :18 - getTextComponents: Proxy element for: DefaultElementLocator 'By.cssSelector: div[id='content'] h2'
2023-12-19 11:12:864 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b4928e5aeab57d81d51d33e56f253cec)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:499 INFO  DesktopsPage :18 - getTextFromElement : [[ChromeDriver: chrome on windows (b4928e5aeab57d81d51d33e56f253cec)] -> css selector: div[id='content'] h2]
2023-12-19 11:12:943 INFO  HomePage :46 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (5c479bc997f12ae86b0d92f6cfacdb22)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:201 INFO  DesktopsPage :19 - getTextNotebooksAndLaptops: [[ChromeDriver: chrome on windows (5c479bc997f12ae86b0d92f6cfacdb22)] -> css selector: div[id='content'] h2]
2023-12-19 11:12:428 INFO  HomePage :50 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (a958eda46b8102a1f950819e2b0ea733)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:373 INFO  ComponentsPage :18 - getTextComponents: [[ChromeDriver: chrome on windows (a958eda46b8102a1f950819e2b0ea733)] -> css selector: div[id='content'] h2]
2023-12-19 11:12:172 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (c55efaa88a76f018503ef4c640cdf628)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 11:12:267 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (c55efaa88a76f018503ef4c640cdf628)] -> css selector: #menu .see-all]
2023-12-19 13:12:868 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (faaa7e2e90bcd58457a80c4590a0bb22)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:901 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (faaa7e2e90bcd58457a80c4590a0bb22)] -> css selector: #menu .see-all]
2023-12-19 13:12:50 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (4ec4f3d05cccf26d744b56f53e917cbd)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:75 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (4ec4f3d05cccf26d744b56f53e917cbd)] -> css selector: #menu .see-all]
2023-12-19 13:12:203 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (7f0f9ef6e0c2492534f324de8c85836d)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:228 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (7f0f9ef6e0c2492534f324de8c85836d)] -> css selector: #menu .see-all]
2023-12-19 13:12:764 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (da1b8532ba539417efa45b8c1e4ae9f3)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:798 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (da1b8532ba539417efa45b8c1e4ae9f3)] -> css selector: #menu .see-all]
2023-12-19 13:12:230 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (8de5dbba5fe957351a02e8fe6ffb7762)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:258 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (8de5dbba5fe957351a02e8fe6ffb7762)] -> css selector: #menu .see-all]
2023-12-19 13:12:533 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (e7656b06af65a03c05c360c8d97530a3)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:555 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (e7656b06af65a03c05c360c8d97530a3)] -> css selector: #menu .see-all]
2023-12-19 13:12:948 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (8fcf7b376ae8c147dc7c936a8e66c400)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:979 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (8fcf7b376ae8c147dc7c936a8e66c400)] -> css selector: #menu .see-all]
2023-12-19 13:12:565 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (73540c2e380383c085b07ab07e0d6a9f)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 13:12:589 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (73540c2e380383c085b07ab07e0d6a9f)] -> css selector: #menu .see-all]
